date,commits
2014-02-09,1
2015-09-03,1
2014-12-10,2
2015-10-09,2
2013-11-14,1
2013-07-12,9
2012-08-22,6
2015-12-02,22
2013-08-08,6
2013-12-19,1
2013-09-02,2
2015-02-08,3
2014-05-02,5
2015-12-11,13
2013-08-25,2
2013-10-31,7
2013-08-01,4
2015-11-10,4
2013-12-31,1
2015-08-05,17
2015-09-07,10
2015-09-17,16
2015-07-25,4
2012-10-02,13
2013-12-04,13
2014-05-09,9
2013-12-03,2
2013-04-30,3
2013-01-09,3
2012-07-25,2
2015-08-22,6
2013-03-06,6
2012-10-24,2
2015-07-05,23
2013-08-22,4
2013-02-05,2
2013-11-29,1
2013-11-27,4
2015-09-04,4
2013-11-08,5
2014-04-08,12
2015-08-06,15
2013-04-08,9
2014-06-17,1
2015-09-11,12
2015-10-14,6
2014-08-04,1
2014-10-31,23
2015-09-16,4
2013-03-19,7
2013-08-14,7
2015-10-24,4
2013-10-01,3
2014-01-08,3
2013-05-28,2
2014-05-12,5
2015-05-22,23
2015-11-26,11
2013-12-12,2
2013-12-17,18
2013-04-02,6
2012-08-12,1
2013-12-09,12
2013-03-28,4
2014-02-15,1
2015-06-07,5
2013-07-06,1
2014-02-21,2
2015-10-03,1
2015-10-22,13
2014-08-19,3
2014-03-26,2
2013-05-12,4
2014-10-15,5
2014-01-06,3
2013-05-10,2
2013-03-11,3
2013-04-06,30
2012-09-03,32
2014-09-17,2
2013-11-17,6
2013-12-10,12
2015-10-27,10
2015-08-07,3
2013-11-06,2
2015-12-04,3
2012-06-19,7
2012-07-16,10
2013-08-20,22
2015-03-18,1
2012-12-30,1
2014-09-07,2
2015-07-03,7
2012-09-28,9
2015-08-25,5
2012-07-27,3
2014-10-08,9
2011-05-13,2
2014-04-20,12
2015-07-20,7
2014-08-07,2
2015-07-22,8
2015-07-26,42
2015-04-01,2
2014-07-26,4
2014-05-08,1
2014-08-26,3
2014-02-18,4
2013-12-18,6
2015-01-27,2
2015-11-30,21
2014-04-03,3
2013-04-10,6
2013-07-02,7
2015-08-11,8
2013-01-10,1
2013-06-28,7
2014-10-12,2
2014-01-29,3
2013-04-07,12
2014-08-22,2
2012-07-20,1
2015-04-26,4
2015-10-12,15
2012-07-22,1
2013-12-23,6
2014-04-21,2
2014-04-23,5
2015-12-09,5
2015-06-08,8
2014-07-22,1
2014-11-10,22
2014-08-25,10
2015-06-06,13
2013-02-04,2
2014-07-25,2
2013-08-13,7
2013-09-07,5
2014-04-18,23
2015-07-08,14
2015-04-20,10
2013-08-30,5
2013-07-31,2
2013-08-23,4
2014-10-24,9
2015-10-01,6
2014-06-09,1
2013-12-08,6
2013-04-09,12
2014-09-12,2
2012-03-07,1
2015-06-12,24
2011-07-13,1
2014-02-20,17
2015-07-19,23
2015-10-06,6
2015-12-01,8
2015-03-07,3
2014-08-21,3
2014-01-30,2
2014-01-11,3
2015-09-14,6
2013-04-26,2
2013-07-19,10
2015-06-18,24
2015-07-17,5
2014-02-13,9
2014-11-12,7
2015-11-12,7
2014-08-23,4
2015-05-05,7
2013-04-15,15
2013-09-29,2
2015-12-23,7
2014-03-06,3
2013-05-01,8
2013-01-13,2
2013-11-02,4
2011-05-10,8
2015-10-13,2
2014-04-13,3
2015-12-07,36
2013-09-30,5
2013-02-20,1
2013-11-19,2
2013-08-02,1
2015-09-23,8
2015-05-28,9
2015-10-07,1
2015-05-27,5
2013-07-27,5
2014-09-23,3
2013-04-14,5
2013-05-08,2
2012-08-23,1
2013-03-16,3
2014-11-14,3
2012-12-04,1
2014-09-15,5
2015-08-18,1
2015-11-02,3
2013-08-07,2
2014-07-17,1
2013-11-30,1
2013-03-29,6
2013-02-13,2
2015-05-25,7
2013-11-21,6
2015-07-11,1
2015-01-22,4
2013-04-23,4
2014-05-19,4
2013-07-07,4
2013-06-01,15
2012-08-15,1
2013-05-30,15
2013-10-27,5
2014-06-10,3
2014-11-26,1
2014-07-14,1
2013-04-18,22
2012-09-27,1
2014-06-02,5
2012-06-20,2
2015-06-19,17
2014-06-03,4
2015-09-08,7
2013-11-13,1
2014-08-30,4
2011-06-12,1
2015-03-25,3
2014-09-30,4
2015-09-15,8
2015-10-31,1
2015-09-29,5
2013-04-21,2
2015-11-11,16
2015-12-03,12
2014-06-05,4
2014-11-17,4
2015-04-29,5
